地区	X1	X2	X3	X4	X5	X6	X7	X8	X9
北京	39138	58042	53062	49455	43187	143717	94956	65646	64250
天津	36007	61667	47103	50372	43400	68436	58365	44999	51602
河北	31330	37333	35800	36976	33168	37756	40386	35583	33065
山西	21145	30736	31722	35151	25722	34298	33398	27957	23396
内蒙古	31084	38296	39644	39719	32674	42301	35588	30959	31807
辽宁	28618	33884	32464	37930	28811	34981	35940	31771	29453
吉林	22137	29395	26099	32881	27225	36990	30983	35481	26079
黑龙江	26367	29592	32277	34021	27556	34216	35178	29425	25032
上海	28523	43129	37998	46474	39502	65737	45153	48130	48177
江苏	37048	48133	43928	48351	36197	46658	42121	45802	43600
浙江	37295	43381	51896	46103	39143	46995	48467	41950	39623
安徽	29959	40685	34047	45063	32265	43610	41579	34444	31223
福建	34226	44424	32494	51249	33896	55266	45101	35511	34641
江西	26620	37471	36214	40839	29593	37578	43236	33331	32818
山东	42927	48488	52674	50069	43503	53183	47456	48162	45784
河南	27450	33157	30413	36021	33817	30091	38208	32784	30192
湖北	26956	34037	32936	37157	29900	39226	38739	32628	29014
湖南	30757	33191	35295	39598	28487	43586	39837	42233	30715
广东	35019	45859	36753	52664	37131	38970	54663	43864	47878
广西	29441	37741	37989	36814	29042	42692	39501	32704	29305
海南	37431	38497	32463	38100	33474	43336	59618	32525	34852
重庆	36437	49116	44843	48973	36607	62977	50396	43518	44979
四川	30382	37777	39061	38417	32686	37419	41973	38380	36289
贵州	25039	39977	49572	39700	31766	58088	46916	38560	31491
云南	27754	36343	34553	39011	38207	31146	41376	35432	33236
陕西	26255	37044	34596	36002	28393	35384	38328	35752	29999
甘肃	30052	36771	36455	34928	32402	33970	34445	32471	33723
青海	27389	33161	43754	36882	31381	26447	27527	31081	39689
宁夏	29894	40419	40406	44725	31685	36143	40016	33277	31258
新疆	32645	40663	46129	48984	29817	44406	40291	34799	39310
