上市公司	X1	X2	X3	X4	X5	X6	X7	X8
西部创业	0.06	2.7591	2.19	13.19	1.72	5.9	0.19	0.13
铁龙物流	0.253	4.0325	6.438	2.83	4.05	3.63	4.22	1.43
大秦铁路	0.9	6.6862	13.5	23.99	10.63	25.57	0.77	0.44
广深铁路	0.14	4.0495	3.59	5.54	3.04	50.13	0.77	0.55
渤海轮渡	0.75	6.7324	11.67	24	8.83	25.79	0.48	0.37
深圳机场	0.3225	5.4464	6.05	19.92	5.17	438.82	0.44	0.26
中信海直	0.15	4.8626	3.15	7.17	1.73	3.22	0.42	0.24
白云机场	0.82	7.2518	12.24	23.6	7.93	53.26	0.87	0.34
上海机场	1.91	13.042	15.53	45.69	13.52	206.53	0.86	0.3
南方航空	0.6	4.9161	12.84	4.64	2.82	69.59	0.84	0.61
东方航空	0.4391	3.6708	12.64	6.25	2.9	40.73	0.65	0.47
海航控股	0.182	3.1176	5.91	5.55	1.92	376.1	0.91	0.35
外运发展	1.4942	9.035	17.16	21.8	14.31	744.18	7.16	0.66
厦门空港	1.3794	11.4402	12.16	24.74	9.41	4215.49	0.54	0.38
中国国航	0.54	6.27	8.96	5.97	3.15	62.37	0.79	0.53
湖南投资	0.26	3.298	8.19	13.43	5.85	0.98	3.21	0.44
上港集团	0.4978	2.9984	17.918	30.83	8.94	1.62	1.11	0.29
现代投资	0.57	5.6221	10.56	8.17	3.84	10.83	4.39	0.47
富临运业	0.3292	3.4755	9.79	9.6	3.67	240.52	1.33	0.38
宜昌交运	0.757	10.829	9.07	5.44	3.85	10.11	3.29	0.71
中远海能	0.4381	6.9245	6.3844	18.1	2.98	13.55	0.26	0.16
皖通高速	0.658	5.6548	12.12	38.14	8	186.79	3.13	0.21
中原高速	0.4016	4.4024	9.69	20.06	2.38	2.39	0.32	0.12
福建高速	0.2391	3.1669	7.66	26.52	3.69	105.39	0.16	0.14
长江投资	-0.3	2.3592	-11.18	-3.3	-3.8	11.69	7.87	1.15
山东高速	0.55	5.5305	10.29	35.83	5.49	0.78	1.14	0.15
五洲交通	0.44	3.9251	11.57	20.52	3.33	0.36	0.28	0.16
宁沪高速	0.7122	4.6688	16.06	37.94	9.11	1.41	5.44	0.24
锦江投资	0.449	6.0935	7.48	10.45	5.49	20.51	2.21	0.53
交运股份	0.43	5.4728	8.13	4.79	4.96	8.21	3.72	1.04
