地区	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12
北京	16410	1419.7	16.01	1463.8	8086	14316	16901	300.6	27892	20392	24.31	68484
天津	2583.3	1007.9	10.59	961.7	7888	14466	20951	353.1	13655	17932	18.09	31940
河北	6613.4	2056.5	14.31	1944.9	14418	33252	17954	753.1	21479	26077	13.68	53034
山西	2893.3	1157.6	11.86	1129	7671	16705	8169	543.3	8895	13813	9.42	30690
内蒙古	4871.7	1241.6	19.77	1146.9	9728	20808	12971	756.6	8000	16495	10.26	45499
辽宁	15148.1	2798.2	11.33	2718.2	16394	29277	18275	1282.6	22950	26222	12.91	80743
吉林	5111.5	1425.8	13.37	1379.5	10669	17084	8445	527.9	11670	13267	10.26	56413
黑龙江	2735.6	1810.2	11.91	1821.8	12750	19667	10722	646	16939	20256	13.58	64158
上海	6340.5	998.8	7.83	1913.3	5129	10582	19508	559.1	20718	24787	12.7	47271
江苏	15277.6	4299.3	14.79	4367.4	44999	79733	72823	3510.4	41131	62726	16.57	53376
浙江	11311.8	2673.3	13.17	2573.4	21215	41286	40550	1526.3	32551	70040	16.27	37781
安徽	6100.4	2001.7	14.02	1959.7	14154	33100	26388	1015	14605	14785	11.95	39199
福建	4440.9	1469.2	13.08	1365.6	8656	17657	14329	723.3	16238	23563	15.26	21727
江西	2369.3	1371	14.16	1279.3	8977	18936	13326	686.7	8136	14311	8.86	13712
山东	22424.2	4795.5	17.91	4540	40685	83011	56796	1869.8	47419	82149	15.88	61314
河南	4822.8	2544.3	10.43	2424.6	13140	31621	21376	897.5	22955	20840	10.88	46598
湖北	8334.2	2248.9	10.99	2111.8	18622	33293	23922	746.9	20915	18826	12.76	36415
湖南	4373.1	1625.6	10.57	1511.1	12292	22477	13846	697.2	19363	17779	15.13	26173
广东	17086.3	5808.1	17.87	5266.6	38930	71204	56323	2596.8	63670	102707	14.2	68504
广西	5752	1333.8	11.77	1292.6	8585	18555	11480	677.3	9093	13143	9.77	17337
海南	1428.2	321	12.02	302.1	2503	5195	4192	173.7	3080	5866	11.35	6683
重庆	7438.5	1350.7	16.86	1179.6	8498	17776	15553	569.6	12810	14565	10.7	21100
四川	7872.7	2615.6	12.47	2468.5	14835	31352	26486	1189.1	23583	24910	12.9	33394
贵州	3104.8	844.6	14.98	776.9	4022	8208	6060	473.6	6565	8656	11.36	19021
云南	3127.7	1131.3	11.33	1027.2	5995	14768	13133	514.8	11166	20821	13.17	19130
西藏	449.8	145.2	7.84	186.8	1134	1986	1422	60.2	580	1035	6.2	1882
陕西	2334.8	1127.4	12.3	1096.3	6783	15265	8678	653.9	12696	10542	16.01	24458
甘肃	1580.1	870.4	13.94	806	4668	9933	5802	306.9	5233	6429	9.16	23395
青海	688.2	197.4	10.78	176	1019	2059	1744	122.1	2248	3039	14.49	8344
宁夏	2119.2	441.8	18.3	384.1	2214	6578	1626	258.3	3357	5019	13.47	12504
新疆	3034.9	1199.4	12.22	1187	7791	13673	6864	631.5	9250	8429	15.24	32284
