id	x1	x2	x3	x4	x5	x6
阿富汗	1925.17	8.03	33.31	26.7	60.72	2.47
中国	14246.86	7.11	12.07	55.61	75.25	9.68
中国香港	56923.49	6.3	8.2	100	84.28	15.06
印度	6104.58	7.31	19.66	32.75	68.35	5.62
印度尼西亚	11057.56	7.17	19.58	53.74	69.07	5.17
以色列	36575.94	5.3	21.3	92.14	82.05	11.24
日本	40763.4	10.2	7.9	93.5	83.84	26.34
老挝	5691.26	6.63	26.27	38.61	66.54	3.81
中国澳门	111496.6	4.82	11.68	100	80.77	8.99
马来西亚	26950.34	4.98	16.79	74.71	74.88	5.89
菲律宾	7387.32	6.77	23.32	44.37	68.41	4.58
沙特阿拉伯	53538.79	3.42	19.69	83.13	74.49	2.86
新加坡	85382.3	4.8	9.7	100	82.6	11.68
韩国	34647.07	5.4	8.6	82.47	82.16	13.13
泰国	16340.03	8.03	10.53	50.37	74.6	10.47
